premise,hypothesis,source,tag
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Узбекистана, Юсупова Дилмурода, 1980 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6600 (шесть тысяч шестьсот) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Абдуллаева Алишера Равшановича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5500 (пяти тысяч пятисот) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Токтомушова Улана Бекировича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 7000 (семи тысяч) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Курбанова Фарруха Саидмуминовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5 900 (пяти тысяч девятисот) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Нургалиева Бахытжана Сапарбаевича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6200 (шесть тысяч двести) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Мамедова Орхана Эльдаровича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6000 (шесть тысяч) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Оганесяна Тиграна Араиковича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6100 (шесть тысяч сто) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Гелашвили Давида Мерабовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5 400 (пять тысяч четыреста) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Кожокару Виорела Илиевича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 6 200 (шесть тысяч двести) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Ковальчука Богдана Тарасовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 5100 (пять тысяч сто) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Сидоровича Дмитрия Леонидовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 7000 (семь тысяч) рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,entailment
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Данияра Виктора Руфимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 20.20 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере десяти тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Данияра Виктора Руфимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере девяти тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Караева Дильшода Рахимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере двух тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Караева Дильшода Рахимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 9 000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Данияра Виктора Руфимовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере деcяти тысяч рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Петрова Рустама Шухратовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 2 000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать Петрова Рустама Шухратовича виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 10 000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
"Нарушение, предусмотренное частью 1.1 настоящей статьи, совершенное в городе федерального значения Москве или Санкт-Петербурге либо в Московской или Ленинградской области, - влечет наложение административного штрафа в размере от пяти тысяч до семи тысяч рублей с административным выдворением за пределы Российской Федерации.","Признать гражданина Армении, Петросяна Армена Грачьевича, 1971 г.р., виновным в совершении административного правонарушения, предусмотренного ч. 3.1 ст. 18.8 Кодекса Российской Федерации об административных правонарушениях, и назначить ему наказание в виде административного штрафа в размере 8 000 рублей с административным выдворением за пределы Российской Федерации в порядке контролируемого самостоятельного выезда из Российской Федерации.",КоАП Статья 18.8 Часть 3.1,contradiction
